model,mode,sensitivity,specificity,auc,accuracy,precision_res,recall_res,f1_res,threshold,n_samples,n_test,n_train,dataset,ablation,dropped_cols
logistic,cv,0.6236723163841809,0.5311111111111111,0.6169020715630885,0.6115942028985507,0.8940567216391804,0.6236723163841809,0.7297918810749,0.493,345,,,Combined,drop_LLR_Rosetta_Proximity,17
rf,holdout,0.783,0.222,0.511,0.71,0.87,0.783,0.825,0.507,345,69.0,276.0,Combined,drop_LLR_Rosetta_Proximity,17
rf,cv,0.6075141242937854,0.4688888888888889,0.5811581920903955,0.5884057971014492,0.8795316949846038,0.6075141242937854,0.7175493250721634,0.552,345,,,Combined,drop_LLR_Rosetta_Proximity,17
logistic,holdout,0.923,0.833,0.968,0.906,0.96,0.923,0.941,0.757,159,32.0,127.0,Essential,drop_LLR_Rosetta_AAIndex,24
logistic,cv,0.9612307692307691,0.9380952380952381,0.9757362637362638,0.95625,0.9845925925925926,0.9612307692307691,0.9722264150943396,0.65,159,,,Essential,drop_LLR_Rosetta_AAIndex,24
rf,holdout,0.923,0.833,0.811,0.906,0.96,0.923,0.941,0.948,159,32.0,127.0,Essential,drop_LLR_Rosetta_AAIndex,24
rf,cv,0.9766153846153847,0.8714285714285716,0.9452454212454213,0.95625,0.9700219780219779,0.9766153846153847,0.9729787162728339,0.625,159,,,Essential,drop_LLR_Rosetta_AAIndex,24
logistic,holdout,0.886,0.667,0.757,0.868,0.969,0.886,0.925,0.519,186,38.0,148.0,Nonessential,drop_LLR_Rosetta_AAIndex,24
logistic,cv,0.7470588235294118,0.4833333333333334,0.7382352941176471,0.7258890469416786,0.9415989782886335,0.7470588235294118,0.8322152979002103,0.528,186,,,Nonessential,drop_LLR_Rosetta_AAIndex,24
rf,holdout,0.886,0.667,0.814,0.868,0.969,0.886,0.925,0.699,186,38.0,148.0,Nonessential,drop_LLR_Rosetta_AAIndex,24
rf,cv,0.9647058823529411,0.2333333333333333,0.4137254901960784,0.9031294452347085,0.9320448179271708,0.9647058823529411,0.9479868469126782,0.665,186,,,Nonessential,drop_LLR_Rosetta_AAIndex,24
logistic,holdout,0.933,0.667,0.863,0.899,0.949,0.933,0.941,0.64,345,69.0,276.0,Combined,drop_LLR_Rosetta_AAIndex,24
logistic,cv,0.8355367231638418,0.8288888888888888,0.9008223477715003,0.8347826086956521,0.9690924902105026,0.8355367231638418,0.8963322155151762,0.713,345,,,Combined,drop_LLR_Rosetta_AAIndex,24
rf,holdout,0.967,0.667,0.788,0.928,0.951,0.967,0.959,0.75,345,69.0,276.0,Combined,drop_LLR_Rosetta_AAIndex,24
rf,cv,0.9563276836158192,0.6866666666666665,0.8296955430006276,0.9188405797101449,0.9506763694742408,0.9563276836158192,0.9530335563828048,0.59,345,,,Combined,drop_LLR_Rosetta_AAIndex,24
